,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Item_Outlet_Sales,Item_Type_Baking Goods,Item_Type_Breads,Item_Type_Breakfast,Item_Type_Canned,Item_Type_Dairy,Item_Type_Frozen Foods,Item_Type_Fruits and Vegetables,Item_Type_Hard Drinks,Item_Type_Health and Hygiene,Item_Type_Household,Item_Type_Meat,Item_Type_Others,Item_Type_Seafood,Item_Type_Snack Foods,Item_Type_Soft Drinks,Item_Type_Starchy Foods,Outlet_Identifier_OUT010,Outlet_Identifier_OUT013,Outlet_Identifier_OUT017,Outlet_Identifier_OUT018,Outlet_Identifier_OUT019,Outlet_Identifier_OUT027,Outlet_Identifier_OUT035,Outlet_Identifier_OUT045,Outlet_Identifier_OUT046,Outlet_Identifier_OUT049,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Size_Unknown,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Forecasted_Sales,Deviation,Inventory_Status
0,FDA15,9.3,0,0.016047301,249.8092,1999,3735.138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,3999.9906086044266,-264.8526086044267,Out of Stock
1,DRC01,5.92,1,0.019278216,48.2692,2009,443.4228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,584.6779822698923,-141.25518226989226,Out of Stock
2,FDN15,17.5,0,0.016760075,141.618,1999,2097.27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2360.569796152653,-263.299796152653,Out of Stock
3,FDX07,19.2,1,0.0,182.095,1998,732.38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1110.4372713181938,-378.0572713181938,Out of Stock
4,NCD19,8.93,0,0.0,53.8614,1987,994.7052,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,992.4959592367245,2.2092407632754885,Excess Stock
5,FDP36,10.395,1,0.0,51.4008,2009,556.6088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,668.2255256559545,-111.6167256559545,Out of Stock
6,FDO10,13.65,1,0.012741089,57.6588,1987,343.5528,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1087.2447299425746,-743.6919299425747,Out of Stock
7,FDP10,12.857645184135976,0,0.127469857,107.7622,1985,4022.7636,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3099.996263389002,922.7673366109984,Excess Stock
8,FDH17,16.2,1,0.016687114,96.9726,2002,1076.5986,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1542.0520286348506,-465.4534286348505,Out of Stock
9,FDU28,19.2,1,0.09444959,187.8214,2007,4710.535,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3092.352490635096,1618.182509364904,Excess Stock
10,FDY07,11.8,0,0.0,45.5402,1999,1516.0266,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,921.76391810218,594.2626818978199,Excess Stock
11,FDA03,18.5,1,0.045463773,144.1102,1997,2187.153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,2249.6889572996006,-62.535957299600796,Out of Stock
12,FDX32,15.1,1,0.1000135,145.4786,1999,1589.2646,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2521.556880965517,-932.292280965517,Out of Stock
13,FDS46,17.6,1,0.047257328,119.6782,1997,2145.2076,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1955.4600771199603,189.74752288003992,Excess Stock
14,FDF32,16.35,0,0.0680243,196.4426,1987,1977.426,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3228.702207194461,-1251.2762071944612,Out of Stock
15,FDP49,9.0,1,0.069088961,56.3614,1997,1547.3192,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,996.6595782093318,550.6596217906681,Excess Stock
16,NCB42,11.8,0,0.008596051,115.3492,2009,1621.8888,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1631.9626542924475,-10.07385429244755,Out of Stock
17,FDP49,9.0,1,0.069196376,54.3614,1999,718.3982,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1090.363145877875,-371.96494587787504,Out of Stock
